CRN,CODE,TITLE,CR,DATE,DAYS,TIME,COST
13834,AUTO101M,Introduction to Service and Maintenance (P),3,8/28-12/15,M T,5:30-8:30pm,$798
13835,AUTO103M,Basic Electrical Systems,4,8/28-12/15,W,5:30-10:30pm,$964
13842,AUTO211M,Manual Transmissions and Transaxles (P) Global,4,8/28-12/15,T,10am-3:45pm,"$1,124"
13843,AUTO211M,Manual Transmissions and Transaxles (P) MCAP,4,8/28-12/15,M,8:30am-2:20pm,"$1,124"
14278,AUTO211M,Manual Transmissions and Transaxles (P) MLR/Audi,4,8/28-12/15,R,8:30am-4pm,"$1,124"
13844,AUTO214M,Powertrain and Emission Controls (P) Global,3,8/28-12/15,R,8am-12:20pm,$788
13845,AUTO214M,Powertrain and Emission Controls (P) MCAP,3,8/28-12/15,R,10:30am-5pm,$788
14279,AUTO214M,Powertrain and Emission Controls (P) MLR/Audi,3,8/28-12/15,W,8am-12:20pm,$788
13846,AUTO215M,Advanced Vehicle Systems (P) Global/MCAP,3,8/28-12/15,F,9-11:30am,$678
13847,AUTO215M,Advanced Vehicle Systems (P) MLR/Audi,3,8/28-12/15,T,2:30-5pm,$678
17152,BIOL090M,Chemistry Foundations for Anatomy and Physiology,1,8/14-8/17,M T W R,9am-12:20pm,$226
13848,BIOL099M,Foundations for Biology,3,8/28-12/15,F,8-11:20am,$788
13849,BIOL099M,Foundations for Biology,3,10/23-12/15,,Online,$788
13850,BIOL099M,Foundations for Biology,3,8/28-12/15,,Online,$788
14275,BIOL099M,Foundations for Biology,3,8/28-12/15,W,11am-2:20pm,$788
13851,BIOL101M,General Concepts in Biology (P),4,8/28-12/15,M W,8-10:30am,"$1,014"
14276,BIOL101M,General Concepts in Biology (P),4,8/28-12/15,M,5-10pm,"$1,014"
14219,BIOL102M,Introduction to Botany (P),4,8/28-12/15,T R,8-10:30am,"$1,014"
13852,BIOL106M,The Human Body (P),3,8/28-12/15,,Online,$678
13853,BIOL106M,The Human Body (P),3,8/28-12/15,W,11am-1:30pm,$678
14436,BIOL106M,The Human Body (P),3,10/23-12/15,,Online,$678
13854,BIOL107M,The Human Body Lab (P),1,8/28-12/15,W,2-4:30pm,$336
17823,BIOL107M,The Human Body Lab (P),1,10/23-12/15,M,5-10pm,$336
13855,BIOL108M,College Biology I (P),4,8/28-12/15,T R,8-10:30am,"$1,014"
14190,BIOL108M,College Biology I (P) HYBRIDOnline plus in class Tuesdays,4,8/28-12/15,T,5-8pm,"$1,014"
17824,BIOL109M,College Biology II (P),4,8/28-12/15,T R,11am-1:30pm,"$1,014"
13856,BIOL110M,Human Anatomy and Physiology I (P),4,8/28-12/15,M W,11am-1:30pm,"$1,014"
13857,BIOL110M,Human Anatomy and Physiology I (P),4,8/28-12/15,M W,2-4:30pm,"$1,014"
13858,BIOL110M,Human Anatomy and Physiology I (P),4,8/28-12/15,W,5-10pm,"$1,014"
13859,BIOL110M,Human Anatomy and Physiology I (P),4,8/28-12/15,R,5-10pm,"$1,014"
13860,BIOL110M,Human Anatomy and Physiology I (P),4,8/28-12/15,S,8am-1pm,"$1,014"
13861,BIOL110M,Human Anatomy and Physiology I (P),4,8/28-12/15,T R,2-4:30pm,"$1,014"
13862,BIOL110M,Human Anatomy and Physiology I (P),4,8/28-12/15,M,5-10pm,"$1,014"
17825,BIOL110M,Human Anatomy and Physiology I (P) HYBRIDOnline plus in class Tuesdays,4,8/28-12/15,T,5-8pm,"$1,014"
18687,BIOL110M,Human Anatomy and Physiology I (P),4,8/28-12/15,M W,8-10:30am,"$1,014"
14437,BIOL112M,Human Diseases (P),3,10/23-12/15,,Online,$678
13863,BIOL120M,Human Anatomy and Physiology II (P),4,8/28-12/15,T R,2-4:30pm,"$1,014"
13864,BIOL120M,Human Anatomy and Physiology II (P),4,8/28-12/15,W,5-10pm,"$1,014"
13865,BIOL120M,Human Anatomy and Physiology II (P),4,8/28-12/15,T,5-10pm,"$1,014"
13866,BIOL120M,Human Anatomy and Physiology II (P),4,8/28-12/15,S,8am-1pm,"$1,014"
17826,BIOL120M,Human Anatomy and Physiology II (P),4,8/28-12/15,R,5-10pm,"$1,014"
18032,BIOL130M,Marine Biology (P),4,8/28-12/15,M,11am-4pm,"$1,014"
13867,BIOL150M,Nutrition,3,8/28-12/15,,Online,$678
13868,BIOL150M,Nutrition,3,8/28-12/15,T,2-4:30pm,$678
13869,BIOL150M,Nutrition,3,10/23-12/15,,Online,$678
13870,BIOL150M,Nutrition,3,8/28-12/15,,Online,$678
13871,BIOL150M,Nutrition,3,8/28-12/15,W,8-10:30am,$678
14277,BIOL150M,Nutrition,3,8/28-12/15,R,5-7:30pm,$678
14484,BIOL150M,Nutrition,3,9/25-12/15,T,8-11:20am,$678
17141,BIOL150M,Nutrition,3,8/28-12/15,,Online,$678
17827,BIOL150M,Nutrition,3,9/25-12/15,M,2-5:20pm,$678
17828,BIOL150M,Nutrition,3,9/25-12/15,,Online,$678
17829,BIOL151M,Nutrition Lab (C),1,9/25-12/15,M,5:30-8:50pm,$336
17830,BIOL151M,Nutrition Lab (C),1,9/25-12/15,,Online,$336
14220,BIOL151M,Nutrition Lab (C),1,8/28-12/15,T,5-7:30pm,$336
14221,BIOL151M,Nutrition Lab (C),1,8/28-12/15,W,11am-1:30pm,$336
14438,BIOL151M,Nutrition Lab (C),1,8/28-12/15,,Online,$336
14439,BIOL151M,Nutrition Lab (C),1,10/23-12/15,,Online,$336
14440,BIOL151M,Nutrition Lab (C),1,8/28-12/15,R,7:40-10:10pm,$336
14485,BIOL151M,Nutrition Lab (C),1,10/23-12/15,,Online,$336
13872,BIOL201M,Principles of Genetics (P),4,8/28-12/15,T R,2-4:30pm,"$1,014"
17831,BIOL205M,General Ecology (P),4,8/28-12/15,W F,8-10:30am,"$1,014"
13873,BIOL210M,Microbiology (P),4,8/28-12/15,M W,8-10:30am,"$1,014"
13874,BIOL210M,Microbiology (P),4,8/28-12/15,W,5-10pm,"$1,014"
